,CompanyId,CompanySiteID,CompanyName,PostToWebsite,Visible,Researcher,Cohort,DateLastUpdated,RefreshSchedule,NextRefresh,RelevantParentCompany,RelevantSubsidiaryCompanies,AllAliases,FirstEightAliases,AllOtherAliases,CompanyWebsite,Majorcompanybrands,HeadquarterCountry,PublicOrPrivate,TickerSymbol,Sector,Industry,MarketCapitalizationDisclosed,MarketCapitalization,AnnualRevenueDisclosed,AnnualRevenue,FinancesCurrency,MarketCapitalizationInUsd,AnnualRevenueInUsd,FinancesCurrentAsOf,TwitterHandle,SustainabilityReporting,SustainabilityCommodityReporting,CommodityReportedon,SustainabilityReportingYear,AcknowledgeDeforestationIssue,AcknowlDeforestationwithCommod,CDP2015_voluntaryoffsetbuyer,PromiseFuturDeforestationCommit,CommodityTypeofFutureCommit,GeneralCommitment,SoyCommitment,PalmCommitment,TimberPulpCommitment,CattleCommitment,TotalCommitments,DormantCommPresent,NumberOfAssessments,NumberOfRelatedActivities,CreatedAt,ModifiedAt,VoluntaryOffsets,Researcher_Other,UpdatedNotes
1496,2159,116.0,Jeronimo Martins,yes,yes,Laura,2016.0,9/5/2018,6 Month,10/26/2017,,,"Jeronimo Martins Group, Jeronimo Martins SGPS, SA, Jeronimo Martins SGPSSA, JMR, Linda","Jeronimo Martins Group,  Jeronimo Martins SGPS,  SA,  Jeronimo Martins SGPSSA,  JMR,  Linda",,www.jeronimomartins.pt/?lang=en,,Portugal,Public,PT: JMT,Food Retailers & Wholesalers,Retail/Wholesale,,8110000000.0,,16275000000.0,EUR,11391416190.0,15876311220.0,2017,,,,,,,,,,,,Yes,Yes,Yes,Yes,4.0,,8.0,4.0,,2/13/2019 5:22:08 PM,,,"market cap, ticker, public/private"
1514,92,3.0,Aeon,yes,yes,Laura,2016.0,3/13/2017,6 Month,9/13/2017,,"Topvalu, Bon Belta, United Super Markets Holdings, Maxvalu, Big-A, Sunday Co, Inageya Co, Belc Co","Daiei, Jusco Co. Ltd., Topvalu","Daiei,  Jusco Co. Ltd.,  Topvalu",,www.aeon.info/en,,Japan,Publicly traded,JP : 8267,Mixed Retailing,Retail/Wholesale,,2100000000000.0,,8390000000000.0,JPY,12149280000.0,69014660000.0,2018,,,,,,,,,,,,No,No,Yes,No,1.0,,2.0,4.0,,2/13/2019 5:22:08 PM,,,"market capitalization, annual revenue, finance year"
1535,341,,Asahi Group Holdings,"No commitment, has exposure",,Ciro,,8/8/2018,12 Month,4/10/2018,,"Asahi Breweries, Calpis Co, Asahiroji Co, Asahi Beer Malt Co, Peroni Brewery, Pilsner Urquell Brewery",,,,www.asahigroup-holdings.com,,Japan,Publicly traded,Tokyo: 2502,Alcoholic Beverages/Drinks,Consumer Goods,,2080000000000.0,,1710000000000.0,JPY,17548960000.0,14427270000.0,4/10/2017,,,,,,,,,,,,No,No,No,No,0.0,,0.0,2.0,,1/26/2019 2:14:34 AM,,,Palm and timber exposure.
1553,579,,BMW Group,,,Luke,,9/30/2018,-,,,BMW; Mini; Rolls Royce,,,,https://www.bmwgroup.com/en.html,,Germany,Public,GER:BMW,Auto & Commercial Vehicle Parts,Automotive,,50550000000.0,,90680000000.0,EUR - Euro,,,9/30/2018,@BMWGroup,,,,,,,,,,,,,,,0.0,,1.0,1.0,,1/26/2019 2:14:40 AM,,,All
1566,803,,Charoen Pokphand Foods PCL,No - profiled under other name,,Philip,,11/23/2016,-,,Charoen Pokphand Group,,"Anvipro, Blanca, C.F., CP, Erawan, Hi-Groand Star Feed, Hogtonal, Hyprovite, Novo, Safe Feed, Safe Fishbrands, Safe Fo, Stargate, Turboand Hilac","Anvipro,  Blanca,  C.F.,  CP,  Erawan,  Hi-Groand Star Feed,  Hogtonal,  Hyprovite"," Novo,  Safe Feed,  Safe Fishbrands,  Safe Fo,  Stargate,  Turboand Hilac",http://www.cpfworldwide.com/en,,Thailand,Publicly traded,Bangkok: CPF,Farming,Agriculture,,220670000000.0,,421360000000.0,THB,6110352300.0,11667458400.0,11/22/2016,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,2/13/2019 5:22:08 PM,,,
1576,979,2639.0,Cranswick,Yes,yes,Philip,2016.0,11/3/2016,12 Month,11/3/2017,,"Benson Park Limited, The Sandwich Factory Holdings Limited, Wayland Farms Limited, Kingston Foods Limited, Cranswick Gourmet Sausage Company Limited","Bodega, Jack Scaife, Simply Sausages, Woodall's, Yorkshire Baker","Bodega,  Jack Scaife,  Simply Sausages,  Woodall's,  Yorkshire Baker",,www.cranswick.plc.uk,,United Kingdom,Publicly traded,UK: CWK,Food Products,Consumer Goods,,1110000000.0,,1070000000.0,GBP,1598685270.0,1541074990.0,11/3/2016,CranswickPlc,,,,,,,,,,,No,No,Yes,No,1.0,,1.0,0.0,,2/13/2019 5:22:08 PM,,,
1598,1322,,Etablissements Fr. Colruyt,No - profiled under other name,,Jonathan,,10/18/2016,-,,,"Colruyt, Bio Planet, Symeta (formerly Druco), Dreamland, DreamBaby, Dream, Okay",Colruyt Group,Colruyt Group,,www.colruytgroup.com/en,,Belgium,Publicly traded,BE: COLR,Food Retailers & Wholesalers,Retail/Wholesale,,7670000000.0,,8920000000.0,EUR,8329090770.0,9686504520.0,4/4/2016,colruytgroup,,,,,,,,,,,No,Former,Former,No,0.0,,4.0,1.0,,2/13/2019 5:22:08 PM,,,
1609,1333,,EUROCASH,"No commitment, has exposure",,Philip,,9/12/2018,12 Month,9/1/2017,,,"Abc, DEF, Delikotesy Centrum, euro SKLEP, Faktoria Win, Frisco.pl, Gama, Groszek, Inmedio, Kontigo, Lewiatan, Pay Up, Psd","Abc,  DEF,  Delikotesy Centrum,  euro SKLEP,  Faktoria Win,  Frisco.pl,  Gama,  Groszek"," Inmedio,  Kontigo,  Lewiatan,  Pay Up,  Psd",www.eurocash.pl/eng/,,Poland,Publicly traded,Warsaw: EUR,Food Retailers & Wholesalers,Retail/Wholesale,,5980000000.0,,20320000000.0,PLN,1474141760.0,5009123840.0,9/1/2016,GrupaEurocash,,,,,,,,,,,,,,,0.0,,0.0,1.0,,2/13/2019 5:22:08 PM,,,
1645,1969,2455.0,Iberdrola,Yes,yes,Philip,2017.0,2/27/2018,Predictable,Predictable,,"ScottishPower Renewables, Avangrid, Elektro Holding",,,,www.iberdrola.com/home,,Spain,Publicly traded,Madrid: IBE,Electric Utilities,Utilities,,38710000000.0,,31420000000.0,EUR,42036389010.0,34119952020.0,12/21/2016,Iberdrola_En,,,,,,,,,,,No,No,Yes,No,1.0,,2.0,2.0,,1/26/2019 2:14:46 AM,,,
1651,1975,2927.0,ICA Gruppen,Yes,yes,Luke,2016.0,10/1/2018,9 Month,12/1/2017,,"Hemtex, inkClub, ICA Sweden, ICA Norway, ICA Bank, ICA Special, ICA Real Estate, Rimi Baltic","I C A Gruppen AB, ICA Group, ICA Groupen AB","I C A Gruppen AB,  ICA Group,  ICA Groupen AB",,www.icagruppen.se/en/,,Sweden,Public,ICA,Food Retailers & Wholesalers,Retail/Wholesale,,55680000000.0,,106460000000.0,SEK,6900424080.0,12127805360.0,2017,@ICAGruppen,,,,,,,,,,,Yes,Yes,Yes,No,3.0,,6.0,5.0,,2/13/2019 5:22:08 PM,,,"Public traded, stock ticker, market cap, revenue, finance year, twitter handle"
1693,2513,,Magnit Group,"No commitment, has exposure",,Philip,,11/29/2016,12 Month,11/29/2017,,,OJSC Magnit,OJSC Magnit,,www.magnit-info.ru,,Russia,Publicly traded,Moscow: MGNT,Food Retailers & Wholesalers,Retail/Wholesale,,981550000000.0,,955940000000.0,RUB,12807264400.0,12473105120.0,11/29/2016,MagnitIR,,,,,,,,,,,,,,,0.0,,1.0,0.0,,2/13/2019 5:22:08 PM,,,
1707,2824,,Nielsen,No exposure,,Jonathan,,3/14/2016,-,,,,,,,www.nielsen.com,,Belgium,Publicly traded,NYSE: NLSN,Advertising/Marketing/Public Relations,Business/Consumer Services,,18340000000.0,,6170000000.0,USD,18340000000.0,6170000000.0,3/14/2016,Nielsen,,,,,,,,,,,,,,,0.0,,0.0,1.0,,1/26/2019 2:14:46 AM,,,
1720,145,5.0,Ahlstrom,Yes,yes,Philip,2016.0,11/2/2016,12 Month,11/2/2017,,,,,,www.ahlstrom.com,,Finland,Publicly traded,FI: AHL1V,Paper/Pulp,Basic Materials/Resources,,599720000.0,,1070000000.0,EUR,651254539.32,1161946170.0,11/2/2016,AhlstromGroup,,,,,,,,,,,No,No,Yes,No,1.0,,2.0,1.0,,1/26/2019 2:14:46 AM,,,
1721,146,2484.0,Ahold Delhaize,Yes,yes,Laura,2017.0,10/1/2018,6 Month,9/14/2017,,"Albert Heijn, Alfa Beta Vassilopoulos, PT Lion Super Indo, Giant Food, Food Lion, Stop & Shop, Peapod, Etos",Ah.nl,Ah.nl,,www.aholddelhaize.com,,Netherlands,Publicly traded,NL: AD,Food Retailers & Wholesalers,Retail/Wholesale,,25815000000.0,,63000000000.0,EUR,28473110820.0,0.0,2017,AholdDelhaize,,,,,,,,,,,Yes,Yes,yes,No,3.0,,15.0,8.0,,2/13/2019 5:22:08 PM,,,"market capitalization, annual revenue, finance year, subsidiaries"
1729,390,,Austindo Nusantara Jaya,Notes included,,Jonathan,,6/8/2016,-,,,,,,,PT Austindo Nusantara Jaya Agri,,Indonesia,Publicly traded,,,,,,,1500000000000.0,IDR,0.0,108000000.0,8/9/2017,,,,,,,,,,,,,,,,0.0,,4.0,2.0,,1/26/2019 2:14:40 AM,,,
1734,395,,Autodesk\A0,No exposure,,Jonathan,,6/24/2016,-,,,,,,,www.autodesk.com,,United States,Publicly traded,Nasdaq: ADSK,Software,Technology,,13270000000.0,,2460000000.0,USD,13270000000.0,2460000000.0,6/24/2016,autodesk,,,,,,,,,,,,,,,0.0,,0.0,2.0,,1/26/2019 2:14:40 AM,,,
1740,401,19.0,Aviko,Yes,yes,Philip,2016.0,3/23/2018,Predictable,Predictable,Cosun,,Aviko B. V.,Aviko B. V.,,www.aviko.com,,Netherlands,Publicly traded,Subsidiary,Consumer Staples,Consumer Goods,Subsidiary,,No,,EUR,,,,AvikoNL,,,,,,,,,,,No,Yes,No,No,1.0,,4.0,1.0,,2/13/2019 5:22:08 PM,,,
1742,615,,Bouygues\A0Group,"No commitment, has exposure",,Jonathan,,2/2/2018,12 Month,2/2/2019,,"Colas Group, Bouygues Construction",,,,www.bouygues.com/en,,France,Publicly traded,Paris: EN,Construction,Real Estate/Construction,,16260000000.0,,31770000000.0,EUR,17657238060.0,34500027870.0,2/2/2018,GroupeBouygues,,,,,,,,,,,No,No,Potential,No,0.0,,0.0,1.0,,1/26/2019 2:14:46 AM,,,
1753,626,32.0,Brambles,Yes,yes,Jonathan,2016.0,3/16/2018,9 Month,12/16/2018,,"CHEP, IFCO SYSTEMS",,,,www.brambles.com,,Australia,Publicly traded,AU: BXB,Containers/Packaging,Industrial Goods,,15200000000.0,,6770000000.0,AUD,10675993600.0,4755031360.0,3/18/2016,brambleslimited,,,,,,,,,,,no,Yes,Yes,no,2.0,,3.0,3.0,,2/12/2019 4:40:47 PM,Yes,,
1763,858,2430.0,Clariant,Yes,yes,Other,2017.0,1/22/2019,9 Month,8/30/2017,,,,,,www.clariant.com,,Switzerland,Publicly traded,SWX: CLN,Specialty Chemicals,Basic Materials/Resources,,6580000000.0,,6377000000.0,CHF,5308992250.0,5765466350.0,2017,clariant,,,,,,,,,,,No,Yes,No,No,2.0,,2.0,2.0,,1/26/2019 2:14:46 AM,,,"Market cap, revenue"
1787,1194,,Dupont Nutrition and Health,No - profiled under other name,,Jonathan,,3/15/2018,-,,Dupont,,,,,www.solae.com,,United States,Publicly traded,Subsidiary,Food Products,Agriculture,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,1/26/2019 2:14:46 AM,,,
1812,1566,,Gb Plange UK,No - profiled under parent,,Jonathan,,3/28/2017,12 Month,3/28/2018,"Associated British Foods, AB Mauri",,,,,,,United Kingdom,Publicly traded,Subsidiary,Food Products,Consumer Goods,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,1.5,,1/26/2019 2:14:46 AM,,,
1825,1789,,h2o-retailing,"No commitment, has exposure",,Jonathan,,6/14/2017,12 Month,6/14/2018,Hankyu Hanshin Toho Group,"Hankyu Kensou Co, Carnet Co, Hankyu Home Styling Co, Heart Dining, Izumiya",,,,www.h2o-retailing.co.jp/e/,,Japan,Publicly traded,Tokyo: 8242,Mixed Retailing,Retail/Wholesale,,186170000000.0,,915690000000.0,JPY,1570716290.0,7725676530.0,9/6/2016,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,1/26/2019 2:14:40 AM,,,
1833,1797,93.0,Hain Celestial,Yes,yes,Nathan,2016.0,2/12/2019,9 Month,11/5/2018,,,"alba Botanica, Arrowhead Mills, Avalon Organics, Bearitos, Blue Print Organic, Candle Cafe Vegan, Casbah, Celestial Seasonings, De Boles, Dream, Earth's Best Organic, Ella's Kitchen, Empire Kosher, Free Bird, G G Unique Fiber, Gardenof Eaten', Greek Gods Yougurt, Hain Pure Foods, Health Valley, Hollywood, Jason, Mara Natha, Plainsville Farms, Queen Helene, Rudis Organic Bakery, Soy Dream","alba Botanica,  Arrowhead Mills,  Avalon Organics,  Bearitos,  Blue Print Organic,  Candle Cafe Vegan,  Casbah,  Celestial Seasonings"," De Boles,  Dream,  Earth's Best Organic,  Ella's Kitchen,  Empire Kosher,  Free Bird,  G G Unique Fiber,  Gardenof Eaten',  Greek Gods Yougurt,  Hain Pure Foods,  Health Valley,  Hollywood,  Jason,  Mara Natha,  Plainsville Farms,  Queen Helene,  Rudis Organic Bakery,  Soy Dream",http://www.hain.com/,"Garden of Eatin', Greek Gods, Terra, Earth's Best, Celestial Seasonings, Candle Cafe Vegan, Spectrum, SunSpire",United States,Publicly traded,Nasdaq: HAIN,Food Products,Consumer Goods,,1750000000.0,,2460000000.0,USD,3900000000.0,2850000000.0,2/12/2019,haincelestial,,,,,,,,,,,No,Yes,Yes,Yes,2.0,,1.0,1.0,,3/1/2019 11:13:26 AM,,,Brands
1860,2208,,Kagome,"No commitment, has exposure",,Jonathan,,8/13/2018,12 Month,6/14/2018,,,,,,www.kagome.co.jp/english/,,Japan,Publicly traded,Tokyo: 2811,Non-Alcoholic Beverages/Drinks,Consumer Goods,,211390000000.0,,195620000000.0,JPY,1783497430.0,1650445940.0,3/23/2016,,,,,,,,,,,,no,no,no,no,0.0,,0.0,1.0,,1/26/2019 2:14:52 AM,,,
1887,2789,162.0,Neste Oil,Yes,yes,An,2016.0,12/28/2018,9 Month,9/14/2018,,,Neste,Neste,,www.nesteoil.com,,Finland,Publicly traded,FI: NESTE,Integrated Oil & Gas,Oil & Gas,,17110000000.0,,13190000000.0,EUR,14279992650.0,12694533390.0,10/26/2018,nestecorp,,,,,,,,,,,Yes,Yes,No,No,3.0,,6.0,5.0,,2/13/2019 5:22:08 PM,,,"market cap, annual rev"
1889,2791,163.0,Nestl\E9,Yes,yes,Laura,2016.0,9/12/2018,6 Month,2/23/2018,,,"Aero, Alpo, Bakers Complete, Beneful, Boost, Buitoni, Butterfinger, Cailler, Carnation, Cat Chow, Cerelac, Chef, Chef Michael's Canine Creations, Chef-Mate, Chocapic, Cini Minis, Coffee-Mate, Cookie Crisp, Crunch, Di Giorno, Dog Chow, Dreyer's, Estrelitas, Extreme, Fancy Feast, Felix, Fitness, Friskies, Gerber, Gerber Graduates, Gourmet, Haagen-Dazs, Herta, Hot Pockets, Jack's, La Laitiere, Lean Cuisine, Maggi, Milo, Minor's, Movenpick, Natur Nes, Nescafe, Nespresso, Nesquik, Nestea, Nestum, Nido, Nutren Junior, Optifast, Orion, Peptamen, Perrier, Poland Springs, Pure Life, Purina, Resource, S. Pellegrino, San Pellegrino, Sjora, Smarties, Stouffer's, Thomy, Toll House, Tombstone, Wonka","Aero,  Alpo,  Bakers Complete,  Beneful,  Boost,  Buitoni,  Butterfinger,  Cailler"," Carnation,  Cat Chow,  Cerelac,  Chef,  Chef Michael's Canine Creations,  Chef-Mate,  Chocapic,  Cini Minis,  Coffee-Mate,  Cookie Crisp,  Crunch,  Di Giorno,  Dog Chow,  Dreyer's,  Estrelitas,  Extreme,  Fancy Feast,  Felix,  Fitness,  Friskies,  Gerber,  Gerber Graduates,  Gourmet,  Haagen-Dazs,  Herta,  Hot Pockets,  Jack's,  La Laitiere,  Lean Cuisine,  Maggi,  Milo,  Minor's,  Movenpick,  Natur Nes,  Nescafe,  Nespresso,  Nesquik,  Nestea,  Nestum,  Nido,  Nutren Junior,  Optifast,  Orion,  Peptamen,  Perrier,  Poland Springs,  Pure Life,  Purina,  Resource,  S. Pellegrino,  San Pellegrino,  Sjora,  Smarties,  Stouffer's,  Thomy,  Toll House,  Tombstone,  Wonka",www.nestle.com,,Switzerland,Public,SWX Europe: NESN,Food Products,Consumer Goods,,245590000000.0,,89790000000.0,CHF,249691332700.0,88784212450.0,8/21/2017,Nestle,,,,,,,,,,,Yes,Yes,Yes,Yes,5.0,,24.0,13.0,,2/13/2019 5:22:08 PM,,,"ticker, public/private, market cap, revenue"
1909,210,,Alliant Energy Corporation,No exposure,,Jonathan,,6/23/2016,-,,,,,,,www.alliantenergy.com,,United States,Publicly traded,NYSE: LNT,Electric Utilities,Utilities,,8780000000.0,,3250000000.0,USD,8780000000.0,3250000000.0,6/23/2016,AlliantEnergyWI,,,,,,,,,,,No,No,No,No,0.0,,0.0,0.0,,1/26/2019 2:14:52 AM,,,
1922,460,,Barclay's,No exposure,,,,7/22/2015,-,,,,,,,www.barclays.com,,United Kingdom,Publicly traded,UK: BARC,Banks,Financials,,32440000000.0,,,GBP,46721937080.0,0.0,7/22/2015,,,,,,,,,,,,,,,,0.0,,0.0,3.0,,2/12/2019 4:40:47 PM,Yes,,
1942,902,2230.0,Compass Group,Yes,yes,Jonathan,2017.0,2/22/2018,9 Month,11/22/2018,,,,,,www.compass-group.com,,United Kingdom,Publicly traded,UK:CPG,Restaurants & Bars,"& Restaurants, Gaming, Lodging",,24590000000.0,,22570000000.0,GBP,35415919630.0,32506600490.0,2/22/2018,,,,,,,,,,,,Potential,Yes,Former,Yes,2.0,,8.0,3.0,,1/26/2019 2:14:52 AM,,,
1946,906,51.0,ConAgra Foods,Yes,yes,Jonathan,2016.0,8/29/2017,9 Month,5/29/2018,,Ralcorp Food Group,"Alexia, Anderson, Andy Capp's, Banquet, Bertolli, Blue Bonnet, Chef Boyardee, Crunch'n Munch, Dennison's, Egg Beaters, Fiddlfaddle, Gulden's, Healthy Choice, Hebrew National, Hunt's, Jiffypop, Kangaroo, Kid Cuisine, La Choy, Lamb Weston, Libby's, Manwich, Marie Callender's, Orville Redenbacher's, P. F. Chang's Home Menu, PAM, Parkay, Penrose, Peter Pan, Poppycock, Ranch Style, Reddi-wip, Rosarita, Rotel, Slim Jim, Snack Pack, Swiss Miss, Van Camp's Snack Pack, Wesson, Wolf Brand Chili","Alexia,  Anderson,  Andy Capp's,  Banquet,  Bertolli,  Blue Bonnet,  Chef Boyardee,  Crunch'n Munch"," Dennison's,  Egg Beaters,  Fiddlfaddle,  Gulden's,  Healthy Choice,  Hebrew National,  Hunt's,  Jiffypop,  Kangaroo,  Kid Cuisine,  La Choy,  Lamb Weston,  Libby's,  Manwich,  Marie Callender's,  Orville Redenbacher's,  P. F. Chang's Home Menu,  PAM,  Parkay,  Penrose,  Peter Pan,  Poppycock,  Ranch Style,  Reddi-wip,  Rosarita,  Rotel,  Slim Jim,  Snack Pack,  Swiss Miss,  Van Camp's Snack Pack,  Wesson,  Wolf Brand Chili",www.conagrafoods.com,,United States,Publicly traded,NYSE:CAG,Food Products,Consumer Goods,,13520000000.0,,7830000000.0,USD,13520000000.0,7830000000.0,8/29/2017,ConAgraFoods,,,,,,,,,,,No,Yes,No,No,1.0,,15.0,3.0,,2/13/2019 5:22:08 PM,,,
1965,1283,,Empire Company Limited,Notes included,,Jonathan,,6/21/2016,-,,,Sobeys,,,,,,Canada,Publicly traded,TSX: EMP.A,Food Retailers & Wholesalers,Retail/Wholesale,,7120000000.0,No,,CAD,5020660880.0,,1/1/2016,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,1/26/2019 2:14:52 AM,,,
1970,1288,,Energizer,"No commitment, has exposure",,Jonathan,,6/14/2017,12 Month,6/14/2018,,,,,,www.energizer.com,,UNITED STATES,Publicly traded,NYSE: ENR,Nondurable Household Products,Consumer Goods,,2470000000.0,,1630000000.0,USD,2470000000.0,1630000000.0,3/23/2016,Energizer,,,,,,,,,,,,,,,0.0,,0.0,0.0,,1/26/2019 2:14:52 AM,,,
1982,1458,,Fluor Corporation,"No commitment, has exposure",,Philip,,7/29/2017,12 Month,7/29/2018,,Stork,,,,www.fluor.com,,United States,Publicly traded,NYSE: FLR,Construction,Real Estate/Construction,,6230000000.0,,19040000000.0,USD,6230000000.0,19040000000.0,7/29/2017,FluorCorp,,,,,,,,,,,No,No,No,No,0.0,,0.0,1.0,,1/26/2019 2:14:52 AM,,,
2005,1875,,Hero Supermarket,"No commitment, has exposure",,Philip,,7/24/2017,12 Month,7/24/2018,,,"Ekspres, Giant Ekstra, Guardianpharmacie, PT Hero Supermarket Tbk","Ekspres,  Giant Ekstra,  Guardianpharmacie,  PT Hero Supermarket Tbk",,www.hero.co.id,,Indonesia,Publicly traded,Indonesia: Hero,Mixed retailing,Retail/Wholesale,,5020000000000.0,,13680000000.0,IDR,361440000.0,984960.0,7/24/2017,HEROSupermarket,,,,,,,,,,,No,No,No,No,0.0,,0.0,0.0,,2/13/2019 5:22:08 PM,,,
2011,1881,2193.0,Hewlett-Packard (HP inc.),Yes,yes,Nathan,2016.0,2/12/2019,9 Month,1/20/2018,,,HP,HP,,https://www8.hp.com/us/en/home.html,,United States,Publicly traded,NYSE: HPQ,Computers/Consumer Electronics,Technology,Yes,35510000000.0,Yes,58710000000.0,USD,31120000000.0,48220000000.0,2/12/2019,HPSustainable,,,,,,,,,,,No,No,Yes,No,1.0,,3.0,5.0,,2/13/2019 5:22:08 PM,,,"Market cap, revenue"
2015,2079,111.0,International Flavors & Fragrances,Yes,yes,An,2016.0,12/31/2018,9 Month,7/21/2017,,"Bush Boake Allen, Aromor,  P.T. Essence Indonesia, IFF Essencias e Fragrancias Ltda",IFF,IFF,,www.iff.com,,United States,Publicly traded,NYSE: IFF,Specialty Chemicals,Basic Materials/Resources,,14100000000.0,,3400000000.0,USD,10280000000.0,3020000000.0,11/05/2018,IFF,,,,,,,,,,,No,Yes,No,No,1.0,,3.0,2.0,,2/13/2019 5:22:08 PM,,,"market cap, annual rev"
2017,2081,2530.0,International Paper APPM,Yes,yes,Philip,2018.0,1/8/2018,Predictable,Predictable,International Paper Co.,,"Andhra Pradesh Paper Mills, Carnatic Paper Mills","Andhra Pradesh Paper Mills,  Carnatic Paper Mills",,www.ipappm.com,,India,Publicly traded,NSE: EQIPAPPM,Paper/Pulp,Basic Materials/Resources,,14310000000.0,,12080000000.0,INR,212617980.0,179484640.0,5/2/2017,,,,,,,,,,,,No,No,yes,no,1.0,,0.0,1.0,,2/13/2019 5:22:08 PM,,,
2018,2082,2105.0,International Paper Co.,yes,yes,An,2016.0,12/29/2018,6 Month,7/8/2018,,"Ilim Joint Venture, International Paper APPM Ltd., IP Holdings Asia Singapore Pte, IP EMEA",,,,www.internationalpaper.com,,United States,Publicly traded,NYSE: IP,Paper/Pulp,Basic Materials/Resources,,16120000000.0,,21740000000.0,USD,25480000000.0,21080000000.0,10/25/2018,IntlPaperCo,,,,,,,,,,,no,No,yes,no,2.0,,2.0,7.0,,1/26/2019 2:14:34 AM,,,"market cap, annual rev"
2028,2263,,Kikkoman,"No commitment, has exposure",,Philip,,8/13/2018,12 Month,9/14/2017,,"Del Monte, JFC, Country Life, Allergy Research Group","Del Monte, JFC Group, Kikkomansoysauce","Del Monte,  JFC Group,  Kikkomansoysauce",,www.kikkoman.com/index.shtml,,Japan,Publicly traded,Tokyo: 2801,Farming,Agriculture,,783680000000.0,,371340000000.0,JPY,6611908160.0,3132995580.0,2/18/2016,KikkomanKitchen,,,,,,,,,,,No,No,No,No,0.0,,2.0,2.0,,2/13/2019 5:22:08 PM,,,
2030,2265,126.0,Kimberly-Clark,Yes,yes,Laura,2016.0,5/18/2017,6 Month,11/18/2017,,,"Cottonelle, Depend, Good Nites, Huggies, Kleen Guard, Kleenex, Little Swimmers, Poise, Pull Ups, Scott, Viva","Cottonelle,  Depend,  Good Nites,  Huggies,  Kleen Guard,  Kleenex,  Little Swimmers,  Poise"," Pull Ups,  Scott,  Viva",www.kimberly-clark.com,,United States,Public,NYSE: KMB,Personal Care Products/Appliances,Consumer Goods,,40710000000.0,,18259000000.0,USD,45420000000.0,18200000000.0,2017,KCCorp,,,,,,,,,,,No,No,Yes,No,2.0,,8.0,8.0,,2/13/2019 5:22:08 PM,,,"market cap, company website, ticker"
2033,2268,127.0,Kingfisher,Yes,yes,Luke,2016.0,10/11/2018,6 Month,2/15/2018,,"B&Q plc (FSC & TFT), Screwfix Direct Limited, Brico D\E9p\F4t (TFT), Castorama, Kingfisher Asia Limited (GFTN), Ko\E7tas (50% joint venture), ScrewFix",,,,www.kingfisher.com,,United Kingdom,Publicly traded,UK: KGF,Home Goods Retail,Retail/Wholesale,,5560000000.0,,11600000000.0,GBP,9664124470.0,16174086110.0,10/11/2018,kingfisherplc,,,,,,,,,,,Potential,Yes,Yes,Yes,4.0,,10.0,6.0,,1/26/2019 2:14:40 AM,,,"Market cap, annual revenue, finance year"
2035,2629,2561.0,Metro Cash & Carry,Yes,yes,Jonathan,2018.0,9/6/2018,9 Month,3/7/2018,Metro AG,,,,,www.metrogroup.de/en/metro-cash-and-carry,,Germany,Publicly traded,Subsidiary,Food Retailers & Wholesalers,Retail/Wholesale,Subsidiary,,,31600000000.0,EUR,,34315419600.0,1/1/2013,,,,,,,,,,,,No,Yes,Yes,No,2.0,,0.0,2.5,,1/26/2019 2:14:52 AM,,,
2036,2630,152.0,Metsa Board Corporation,Yes,yes,An,2016.0,12/29/2018,6 Month,1/29/2018,Metsa Group,,,,,www.metsaboard.com,,Finland,Publicly traded,FI: METSA,Paper/Pulp,Basic Materials/Resources,,1860000000.0,,1850000000.0,EUR,2443344750.0,1867801320.0,11/08/2018,MetsaBoard,,,,,,,,,,,No,No,Yes,No,1.0,,4.0,1.5,,1/26/2019 2:14:52 AM,,,"market cap, annual rev"
2058,2838,1935.0,Nisshin Oillio,yes,Yes,Philip,2016.0,4/11/2017,Predictable,Predictable,,"Settsu Oil Mill, Nisshin Shoji Co., Daito Cacao Co., Nisshin Shokai Co., Mogi Tofu Co., PIETRO Co., Wakou Shokuhin Co., Saiwai Trading Co.",,,,www.nisshin-oillio.com/english/index.shtml,,Japan,Publicly traded,Tokyo: 2602,Food Products,Consumer Goods,,117000000000.0,,327840000000.0,JPY,987129000.0,2765986080.0,4/11/2017,,,,,,,,,,,,No,Yes,No,No,1.0,,4.0,1.0,,1/26/2019 2:14:52 AM,,,
2059,2839,,Nisshin Seifun Group,"No commitment, has exposure",,Philip,,8/15/2018,12 Month,6/28/2018,,,,,,www.nisshin.com/english/,,Japan,Publicly traded,Tokyo: 2002,Food Products,Consumer Goods,,572500000000.0,,532040000000.0,JPY,4830182500.0,4488821480.0,6/28/2017,,,,,,,,,,,,no,no,no,no,0.0,,0.0,0.0,,1/26/2019 2:14:52 AM,,,
